# num_dtau=10 dt=1.000000e-05 ncor=2000
time_lag,MSD,count
3.980000e-02,2.390037e-04,2744420
3.990000e-02,2.402062e-04,2744280
4.000000e-02,2.414117e-04,2744140
4.010000e-02,2.426202e-04,2744000
4.020000e-02,2.438318e-04,2743860
4.030000e-02,2.450463e-04,2743720
4.040000e-02,2.462639e-04,2743580
4.050000e-02,2.474845e-04,2743440
4.060000e-02,2.487081e-04,2743300
4.070000e-02,2.499347e-04,2743160
4.080000e-02,2.511644e-04,2743020
4.090000e-02,2.523970e-04,2742880
4.100000e-02,2.536327e-04,2742740
4.110000e-02,2.548714e-04,2742600
4.120000e-02,2.561131e-04,2742460
4.130000e-02,2.573578e-04,2742320
4.140000e-02,2.586055e-04,2742180
4.150000e-02,2.598563e-04,2742040
4.160000e-02,2.611100e-04,2741900
4.170000e-02,2.623668e-04,2741760
4.180000e-02,2.636266e-04,2741620
4.190000e-02,2.648894e-04,2741480
4.200000e-02,2.661552e-04,2741340
4.210000e-02,2.674241e-04,2741200
4.220000e-02,2.686959e-04,2741060
4.230000e-02,2.699708e-04,2740920
4.240000e-02,2.712487e-04,2740780
4.250000e-02,2.725296e-04,2740640
4.260000e-02,2.738135e-04,2740500
4.270000e-02,2.751004e-04,2740360
4.280000e-02,2.763904e-04,2740220
4.290000e-02,2.776833e-04,2740080
4.300000e-02,2.789793e-04,2739940
4.310000e-02,2.802783e-04,2739800
4.320000e-02,2.815803e-04,2739660
4.330000e-02,2.828853e-04,2739520
4.340000e-02,2.841934e-04,2739380
4.350000e-02,2.855044e-04,2739240
4.360000e-02,2.868185e-04,2739100
4.370000e-02,2.881356e-04,2738960
4.380000e-02,2.894557e-04,2738820
4.390000e-02,2.907788e-04,2738680
4.400000e-02,2.921049e-04,2738540
4.410000e-02,2.934341e-04,2738400
4.420000e-02,2.947662e-04,2738260
4.430000e-02,2.961014e-04,2738120
4.440000e-02,2.974396e-04,2737980
4.450000e-02,2.987808e-04,2737840
4.460000e-02,3.001250e-04,2737700
4.470000e-02,3.014722e-04,2737560
4.480000e-02,3.028225e-04,2737420
4.490000e-02,3.041757e-04,2737280
4.500000e-02,3.055320e-04,2737140
4.510000e-02,3.068913e-04,2737000
4.520000e-02,3.082536e-04,2736860
4.530000e-02,3.096189e-04,2736720
4.540000e-02,3.109872e-04,2736580
4.550000e-02,3.123586e-04,2736440
4.560000e-02,3.137329e-04,2736300
4.570000e-02,3.151103e-04,2736160
4.580000e-02,3.164907e-04,2736020
4.590000e-02,3.178741e-04,2735880
4.600000e-02,3.192605e-04,2735740
4.610000e-02,3.206499e-04,2735600
4.620000e-02,3.220424e-04,2735460
4.630000e-02,3.234379e-04,2735320
4.640000e-02,3.248363e-04,2735180
4.650000e-02,3.262378e-04,2735040
4.660000e-02,3.276423e-04,2734900
4.670000e-02,3.290498e-04,2734760
4.680000e-02,3.304604e-04,2734620
4.690000e-02,3.318739e-04,2734480
4.700000e-02,3.332905e-04,2734340
4.710000e-02,3.347100e-04,2734200
4.720000e-02,3.361326e-04,2734060
4.730000e-02,3.375582e-04,2733920
4.740000e-02,3.389868e-04,2733780
4.750000e-02,3.404185e-04,2733640
4.760000e-02,3.418531e-04,2733500
4.770000e-02,3.432907e-04,2733360
4.780000e-02,3.447314e-04,2733220
4.790000e-02,3.461751e-04,2733080
4.800000e-02,3.476218e-04,2732940
4.810000e-02,3.490715e-04,2732800
4.820000e-02,3.505242e-04,2732660
4.830000e-02,3.519799e-04,2732520
4.840000e-02,3.534387e-04,2732380
4.850000e-02,3.549005e-04,2732240
4.860000e-02,3.563652e-04,2732100
4.870000e-02,3.578330e-04,2731960
4.880000e-02,3.593038e-04,2731820
4.890000e-02,3.607776e-04,2731680
4.900000e-02,3.622545e-04,2731540
4.910000e-02,3.637343e-04,2731400
4.920000e-02,3.652172e-04,2731260
4.930000e-02,3.667030e-04,2731120
4.940000e-02,3.681919e-04,2730980
4.950000e-02,3.696838e-04,2730840
4.960000e-02,3.711787e-04,2730700
